6.712894, -20.294090, -0.636937, 0.770916
6.736905, -20.563020, -0.701515, 0.712655
6.749187, -20.811936, -0.686494, 0.727136
6.774303, -20.990367, -0.648433, 0.761272
6.788694, -21.148792, -0.675894, 0.736999
6.771996, -21.314206, -0.742595, 0.669741
6.723036, -21.470820, -0.805556, 0.592519
6.651372, -21.619351, -0.844039, 0.536282
6.581848, -21.769352, -0.839417, 0.543489
6.527578, -21.937836, -0.809073, 0.587708
6.475498, -22.088874, -0.817005, 0.576631
6.408308, -22.240031, -0.837819, 0.545947
6.332954, -22.389799, -0.851037, 0.525105
6.251290, -22.541802, -0.857972, 0.513697
6.166694, -22.695601, -0.861169, 0.508319
6.077117, -22.836701, -0.878741, 0.477298
5.964075, -22.957228, -0.918510, 0.395398
5.827681, -23.065470, -0.942886, 0.333117
5.678703, -23.176126, -0.950756, 0.309941
5.538100, -23.249886, -0.971580, 0.236712
5.365781, -23.303883, -0.988320, 0.152393
5.194615, -23.347240, -0.992482, 0.122392
5.009546, -23.371879, -0.998227, 0.059523
4.841529, -23.375184, -0.999950, 0.010004
4.671596, -23.360226, -0.998986, -0.045027
4.512146, -23.330025, -0.995691, -0.092731
4.347398, -23.284505, -0.990838, -0.135056
4.187153, -23.224981, -0.984100, -0.177615
4.040959, -23.156093, -0.975770, -0.218797
3.896142, -23.070943, -0.964900, -0.262619
3.758746, -22.975823, -0.954441, -0.298398
3.632965, -22.875726, -0.944463, -0.328618
3.511010, -22.768983, -0.936092, -0.351754
3.394300, -22.658038, -0.928737, -0.370739
3.280711, -22.542231, -0.921946, -0.387319
3.174188, -22.424356, -0.913930, -0.405871
3.071058, -22.300385, -0.905625, -0.424080
2.963918, -22.164112, -0.899477, -0.436969
2.862002, -22.023558, -0.890404, -0.455172
2.758190, -21.869594, -0.882091, -0.471080
2.654039, -21.699688, -0.870252, -0.492607
2.553672, -21.521907, -0.862045, -0.506832
2.450701, -21.326218, -0.852464, -0.522787
